name,club,preffered_formation,coaching_licence,age,avg_term_as_coach
Michel Der Zakarian,Stade Brestois,4-2-3-1,CAA Base Ltd,58.0,1.91
Gérald Baticle,SCO Angers,3-4-1-2,UEFA Pro Licence,52.0,1.39
Christophe Pélissier,FC Lorient,4-2-3-1,CLK FOOT,56.0,3.81
Laurent Batlles,Without Club,3-5-2 flat,UEFA Pro Licence,46.0,2.17
Pascal Gastien,Clermont Foot,4-2-3-1,Louis DENOLLE,58.0,4.06
Claude Puel,Without Club,4-2-3-1,-,60.0,2.63
Julian Nagelsmann,FC Bayern ,3-4-2-1,Sports360 GmbH,34.0,2.0
Marco Rose,Bor. Dortmund,4-2-3-1,UEFA Pro Licence,45.0,1.5
Gerardo Seoane,Bay. Leverkusen,4-4-2,Signature - ISCM AG,43.0,1.5
Mark van Bommel,Without Club,4-2-3-1,UEFA Pro Licence,44.0,0.93
Adi Hütter,Bor. M'gladbach,3-4-2-1,Sand Christian ...,51.0,1.89
Sebastian Hoeneß,TSG Hoffenheim,3-4-1-2,UEFA Pro Licence,39.0,1.64
Oliver Glasner,E. Frankfurt,4-2-3-1,UEFA Pro Licence,47.0,1.52
"Pellegrino Matarazzo,VfB Stuttgart,1977-11-28,44,""Wayne, New Jersey"",United States,2019-12-30,2024-06-30,UEFA Pro Licence,1.51,3-4-2-1,Bundesliga,Germany",,,,,
Christian Streich,SC Freiburg,4-4-2 double 6,UEFA Pro Licence,56.0,8.68
Pál Dárdai,Without Club,4-2-3-1,UEFA Pro Licence,45.0,1.37
Bo Svensson,1.FSV Mainz 05,3-4-1-2,UEFA Pro Licence,42.0,1.12
Markus Weinzierl,FC Augsburg,4-4-2 double 6,BMS Sportconsulting ...,47.0,1.97
Steffen Baumgart,1. FC Köln,4-1-4-1,UEFA Pro Licence,50.0,1.64
Urs Fischer,Union Berlin,3-4-1-2,FPA Fairplay Agency ...,55.0,2.1
Frank Kramer,Arm. Bielefeld,4-2-3-1,UEFA Pro Licence,49.0,1.23
Thomas Reis,VfL Bochum,4-2-3-1,SEG,48.0,1.38
Stefan Leitl,Greuther Fürth,4-3-1-2,ROOF,44.0,1.63
"Jesse Marsch,Without Club,1973-11-08,48,""Racine, Wisconsin"",United States,2021-03-03,2023-06-30,-,1.79,4-4-2 double 6,Bundesliga,Germany",,,,,
