player_name,standardized_club
Cian Hughton,Tottenham Hotspur
David Hutton,Tottenham Hotspur
Ricardo Rocha,Tottenham Hotspur
Ben Alnwick,Tottenham Hotspur
Jamie O'Hara,Tottenham Hotspur
Oscar Jansson,Tottenham Hotspur
Steven Caulker,Tottenham Hotspur
Jake Livermore,Tottenham Hotspur
Ryan Mason,Tottenham Hotspur
Kyle Walker,Tottenham Hotspur
Adel Taarabt,Tottenham Hotspur
David Button,Tottenham Hotspur
Jonathan Obika,Tottenham Hotspur
Adam Smith,Tottenham Hotspur
Danny Rose,Tottenham Hotspur
Simon Dawkins,Tottenham Hotspur
Fraizer Campbell,Tottenham Hotspur
Alessandro Diamanti,West Ham United
Radoslav Kovac,West Ham United
Hérita Ilunga,West Ham United
Manuel da Costa,West Ham United
Fabio Daprelà,West Ham United
Luis Jiménez,West Ham United
Péter Kurucz,West Ham United
Danny Uchechi,West Ham United
Guillermo Franco,West Ham United
Frank Nouble,West Ham United
Tony Brookes,West Ham United
Danny Kearns,West Ham United
Julien Faubert,West Ham United
Jordan Spence,West Ham United
Frank Nouble,West Ham United
Carlos Tevez,West Ham United
Savio Nsereko,West Ham United
James Collins,West Ham United
Kyel Reid,West Ham United
Jimmy Walker,West Ham United
Jack Jeffery,West Ham United
Lee Bowyer,West Ham United
Diego Tristán,West Ham United
Wálter López,West Ham United
Jordan Spence,West Ham United
Freddie Sears,West Ham United
Lucas Neill,West Ham United
Péter Kurucz,West Ham United
Mido,West Ham United
Radoslav Kovac,West Ham United
David Di Michele,West Ham United
Hérita Ilunga,West Ham United
Jan Lastuvka,West Ham United
Carlos Tevez,Manchester City
Emmanuel Adebayor,Manchester City
Joleon Lescott,Manchester City
Roque Santa Cruz,Manchester City
Kolo Touré,Manchester City
Gareth Barry,Manchester City
Sylvinho,Manchester City
Stuart Taylor,Manchester City
Javan Vidal,Manchester City
Benjani,Manchester City
Joe Hart,Manchester City
Kelvin Etuhu,Manchester City
Shay Logan,Manchester City
Ryan McGivern,Manchester City
Daniel Sturridge,Manchester City
Elano,Manchester City
Richard Dunne,Manchester City
Gelson Fernandes,Manchester City
Ched Evans,Manchester City
Kasper Schmeichel,Manchester City
Joe Hart,Manchester City
Tal Ben Haim,Manchester City
Richard Martin,Manchester City
Darius Vassell,Manchester City
Felipe Caicedo,Manchester City
Ryan McGivern,Manchester City
Donal McDermott,Manchester City
Kelvin Etuhu,Manchester City
Shay Logan,Manchester City
Valeri Bojinov,Manchester City
Danny Mills,Manchester City
Michael Ball,Manchester City
Dietmar Hamann,Manchester City
Gláuber,Manchester City
Robert Huth,Manchester City
Tuncay Sanli,Manchester City
Dean Whitehead,Manchester City
Danny Collins,Manchester City
Diego Arismendi,Manchester City
Matty Lund,Manchester City
Ben Marshall,Manchester City
Warwick Alexander,Manchester City
Tom Soares,Manchester City
Ben Marshall,Manchester City
Michael Tonge,Manchester City
Steve Simonsen,Manchester City
Ryan Shotton,Manchester City
Carl Dickinson,Manchester City
Diego Arismendi,Manchester City
Ben Marshall,Manchester City
Seyi Olofinjana,Manchester City
Andy Owens,Manchester City
Tom Thorley,Manchester City
Ben Marshall,Manchester City
Danzelle St Louis-Hamilton,Manchester City
Ibrahima Sonko,Manchester City
Andrew Davies,Manchester City
Ryan Shotton,Manchester City
Carl Dickinson,Manchester City
Richard Cresswell,Manchester City
Marc Grocott,Manchester City
Dominic Matteo,Manchester City
Vincent Péricard,Manchester City
Kevin-Prince Boateng,FC Köln
Mike Williamson,FC Köln
Tommy Smith,FC Köln
Aruna Dindane,FC Köln
Frédéric Piquionne,FC Köln
Hassan Yebda,FC Köln
Aaron Mokoena,FC Köln
Tal Ben Haim,FC Köln
Michael Brown,FC Köln
Steve Finnan,FC Köln
Jamie O'Hara,FC Köln
Anthony Vanden Borre,FC Köln
Antti Niemi,FC Köln
Tom Kilbey,FC Köln
Danny Webber,FC Köln
Paris Cowan-Hall,FC Köln
Marlon Pack,FC Köln
Luke Wilkinson,FC Köln
Djimi Traoré,FC Köln
Tom Kilbey,FC Köln
Paris Cowan-Hall,FC Köln
Matt Ritchie,FC Köln
David Nugent,FC Köln
Marlon Pack,FC Köln
Glen Johnson,FC Köln
Peter Crouch,FC Köln
Sylvain Distin,FC Köln
Niko Kranjcar,FC Köln
Martin Cranie,FC Köln
Arnold Mvuemba,FC Köln
Sol Campbell,FC Köln
Jerome Thomas,FC Köln
Noé Pamarot,FC Köln
Glen Little,FC Köln
Sean Davis,FC Köln
Djimi Traoré,FC Köln
Torric Jebrin,FC Köln
Tom Kilbey,FC Köln
Asmir Begovic,FC Köln
Marlon Pack,FC Köln
David Nugent,FC Köln
Matt Ritchie,FC Köln
Callum Reynolds,FC Köln
Laurén,FC Köln
Theofanis Gekas,FC Köln
Pelé,FC Köln
Scott Harris,FC Köln
Stephen Hunt,Manchester City
Seyi Olofinjana,Manchester City
Paul McShane,Manchester City
Steven Mouyokolo,Manchester City
Kamel Ghilas,Manchester City
Jan Vennegoor of Hesselink,Manchester City
Ibrahima Sonko,Manchester City
Jozy Altidore,Manchester City
Tom Cairney,Manchester City
Liam Cooper,Manchester City
Jamie Devitt,Manchester City
Mark Oxley,Manchester City
Nicky Featherstone,Manchester City
Will Atkinson,Manchester City
Michael Turner,Manchester City
Sam Ricketts,Manchester City
Ryan France,Manchester City
Michael Bridges,Manchester City
James Bennett,Manchester City
John Welsh,Manchester City
Matty Plummer,Manchester City
Dean Windass,Manchester City
Nathan Doyle,Manchester City
Mark Oxley,Manchester City
Bryan Hughes,Manchester City
Jamie Devitt,Manchester City
Caleb Folan,Manchester City
Jamie Devitt,Manchester City
Kevin Doyle,Wolverhampton
Ronald Zubar,Wolverhampton
Nenad Milijas,Wolverhampton
Greg Halford,Wolverhampton
Stefan Maierhofer,Wolverhampton
Andrew Surman,Wolverhampton
Segundo Castillo,Wolverhampton
Marcus Hahnemann,Wolverhampton
Michael Mancienne,Wolverhampton
Danny Batth,Wolverhampton
David Davis,Wolverhampton
Sam Winnall,Wolverhampton
Scott Malone,Wolverhampton
George Friend,Wolverhampton
Jason Shackell,Wolverhampton
George Friend,Wolverhampton
Carl Ikeme,Wolverhampton
Matt Hill,Wolverhampton
Scott Malone,Wolverhampton
Dan Jones,Wolverhampton
Danny Batth,Wolverhampton
Darren Potter,Wolverhampton
Neill Collins,Wolverhampton
Elliott Bennett,Wolverhampton
Lewis Gobern,Wolverhampton
Alex Melbourne,Wolverhampton
Carl Ikeme,Wolverhampton
George Friend,Wolverhampton
David Davis,Wolverhampton
Sam Vokes,Wolverhampton
Danny Batth,Wolverhampton
George Friend,Wolverhampton
Dan Jones,Wolverhampton
Darren Ward,Wolverhampton
Jason Shackell,Wolverhampton
Mark Little,Wolverhampton
Liam Hughes,Wolverhampton
Michael Mancienne,Wolverhampton
Steven Fletcher,FC Köln
André Bikey,FC Köln
Tyrone Mears,FC Köln
Brian Easton,FC Köln
David Edgar,FC Köln
Jonathan Lund,FC Köln
Martin Fearon,FC Köln
David Nugent,FC Köln
Richard Eckersley,FC Köln
Fernando Guerrero,FC Köln
Wes Fletcher,FC Köln
Benjamin Hoskin,FC Köln
Chris Lynch,FC Köln
Chris Anderson,FC Köln
Alex-Ray Harvey,FC Köln
Richard Eckersley,FC Köln
David Edgar,FC Köln
Jonathan Lund,FC Köln
Brian Easton,FC Köln
Gábor Király,FC Köln
Remco van der Schaaf,FC Köln
Besart Berisha,FC Köln
Alan Mahon,FC Köln
Kevin Okanga-Ajwang,FC Köln
Gábor Király,FC Köln
Chris Lynch,FC Köln
Alex MacDonald,FC Köln
Adam Kay,FC Köln
David Nugent,FC Köln
Jack Cork,FC Köln
Rodrigo Possebon,Manchester United
Mame Diouf,Manchester United
Tom Heaton,Manchester United
Ben Amos,Manchester United
Danny Simpson,Manchester United
Tom Heaton,Manchester United
Danny Welbeck,Manchester United
David Gray,Manchester United
Danny Simpson,Manchester United
Zoran Tosic,Manchester United
Tom Heaton,Manchester United
Danny Welbeck,Manchester United
Tom Heaton,Manchester United
Ben Amos,Manchester United
Sam Hewson,Manchester United
Maxi Rodríguez,Liverpool
David Martin,Liverpool
David Martin,Liverpool
David Martin,Liverpool
Robbie Threlfall,Liverpool
Andrea Dossena,Liverpool
Andriy Voronin,Liverpool
Craig Lindfield,Liverpool
Jay Spearing,Liverpool
Robbie Threlfall,Liverpool
David Martin,Liverpool
Stephen Darby,Liverpool
Nathan Eccleston,Liverpool
David Martin,Liverpool
Péter Gulácsi,Liverpool
Patrick van Aanholt,Chelsea
Patrick van Aanholt,Chelsea
Lee Sawyer,Chelsea
Lee Sawyer,Chelsea
Patrick van Aanholt,Chelsea
Craig Eastmond,Arsenal
Sol Campbell,Arsenal
