Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Marcos Senesi,Marcos Senesi,"Argentina, Italy",27,AFC Bournemouth,€24.00m,joueurs_images\Marcos_Senesi.jpg
Callum Hudson-Odoi,Callum Hudson-Odoi,"England, Ghana",24,Nottingham Forest,€24.00m,joueurs_images\Callum_Hudson-Odoi.jpg
Weston McKennie,Weston McKennie,United States,26,Juventus FC,€24.00m,joueurs_images\Weston_McKennie.jpg
Tomas Soucek,Tomas Soucek,Czech Republic,29,West Ham United,€24.00m,joueurs_images\Tomas_Soucek.jpg
Waldemar Anton,Waldemar Anton,Germany,28,Borussia Dortmund,€24.00m,joueurs_images\Waldemar_Anton.jpg
Antonio Rüdiger,Antonio Rüdiger,"Germany, Sierra Leone",31,Real Madrid,€24.00m,joueurs_images\Antonio_Rüdiger.jpg
Ismael Saibari,Ismael Saibari,"Morocco, Belgium",24,PSV Eindhoven,€23.00m,joueurs_images\Ismael_Saibari.jpg
Gabri Veiga,Gabri Veiga,Spain,22,Al-Ahli SFC,€23.00m,joueurs_images\Gabri_Veiga.jpg
Gabriel Sara,Gabriel Sara,Brazil,25,Galatasaray,€23.00m,joueurs_images\Gabriel_Sara.jpg
Quilindschy Hartman,Quilindschy Hartman,"Netherlands, Curacao",23,Feyenoord Rotterdam,€23.00m,joueurs_images\Quilindschy_Hartman.jpg
Pedro,Pedro,Brazil,27,CR Flamengo,€23.00m,joueurs_images\Pedro.jpg
Vangelis Pavlidis,Vangelis Pavlidis,Greece,26,SL Benfica,€23.00m,joueurs_images\Vangelis_Pavlidis.jpg
John McGinn,John McGinn,Scotland,30,Aston Villa,€23.00m,joueurs_images\John_McGinn.jpg
Luis Guilherme,Luis Guilherme,Brazil,19,West Ham United,€22.00m,joueurs_images\Luis_Guilherme.jpg
Facundo Buonanotte,Facundo Buonanotte,"Argentina, Italy",20,Leicester City,€22.00m,joueurs_images\Facundo_Buonanotte.jpg
Oscar Gloukh,Oscar Gloukh,Israel,20,Red Bull Salzburg,€22.00m,joueurs_images\Oscar_Gloukh.jpg
Lewis Miley,Lewis Miley,England,18,Newcastle United,€22.00m,joueurs_images\Lewis_Miley.jpg
Tyler Dibling,Tyler Dibling,England,19,Southampton FC,€22.00m,joueurs_images\Tyler_Dibling.jpg
Luiz Henrique,Luiz Henrique,Brazil,24,Zenit St. Petersburg,€22.00m,joueurs_images\Luiz_Henrique.jpg
Mohamed Amoura,Mohamed Amoura,Algeria,24,VfL Wolfsburg,€22.00m,joueurs_images\Mohamed_Amoura.jpg
Omari Hutchinson,Omari Hutchinson,"England, Jamaica",21,Ipswich Town,€22.00m,joueurs_images\Omari_Hutchinson.jpg
Matías Soulé,Matías Soulé,"Argentina, Italy",21,AS Roma,€22.00m,joueurs_images\Matías_Soulé.jpg
Julio Enciso,Julio Enciso,Paraguay,21,Ipswich Town,€22.00m,joueurs_images\Julio_Enciso.jpg
Jarell Quansah,Jarell Quansah,"England, Scotland",22,Liverpool FC,€22.00m,joueurs_images\Jarell_Quansah.jpg
Aaron Hickey,Aaron Hickey,Scotland,22,Brentford FC,€22.00m,joueurs_images\Aaron_Hickey.jpg
Aitor Paredes,Aitor Paredes,Spain,24,Athletic Bilbao,€22.00m,joueurs_images\Aitor_Paredes.jpg
Carlos Augusto,Carlos Augusto,"Brazil, Italy",26,Inter Milan,€22.00m,joueurs_images\Carlos_Augusto.jpg
Fábio Vieira,Fábio Vieira,Portugal,24,FC Porto,€22.00m,joueurs_images\Fábio_Vieira.jpg
Amine Adli,Amine Adli,"Morocco, France",24,Bayer 04 Leverkusen,€22.00m,joueurs_images\Amine_Adli.jpg
Yunus Musah,Yunus Musah,"United States, England",22,AC Milan,€22.00m,joueurs_images\Yunus_Musah.jpg
Aaron Wan-Bissaka,Aaron Wan-Bissaka,"England, DR Congo",27,West Ham United,€22.00m,joueurs_images\Aaron_Wan-Bissaka.jpg
Crysencio Summerville,Crysencio Summerville,"Netherlands, Suriname",23,West Ham United,€22.00m,joueurs_images\Crysencio_Summerville.jpg
Kevin Schade,Kevin Schade,"Germany, Nigeria",23,Brentford FC,€22.00m,joueurs_images\Kevin_Schade.jpg
Rodrigo Riquelme,Rodrigo Riquelme,Spain,24,Atlético de Madrid,€22.00m,joueurs_images\Rodrigo_Riquelme.jpg
Sam Beukema,Sam Beukema,Netherlands,26,Bologna FC 1909,€22.00m,joueurs_images\Sam_Beukema.jpg
Youssef En-Nesyri,Youssef En-Nesyri,Morocco,27,Fenerbahce,€22.00m,joueurs_images\Youssef_En-Nesyri.jpg
Lewis Ferguson,Lewis Ferguson,Scotland,25,Bologna FC 1909,€22.00m,joueurs_images\Lewis_Ferguson.jpg
Matt O'Riley,Matt O'Riley,"Denmark, England",24,Brighton & Hove Albion,€22.00m,joueurs_images\Matt_O'Riley.jpg
Dodô,Dodô,Brazil,26,ACF Fiorentina,€22.00m,joueurs_images\Dodô.jpg
Igor,Igor,Brazil,27,Brighton & Hove Albion,€22.00m,joueurs_images\Igor.jpg
Sergiño Dest,Sergiño Dest,"United States, Netherlands",24,PSV Eindhoven,€22.00m,joueurs_images\Sergiño_Dest.jpg
Ritsu Doan,Ritsu Doan,Japan,26,SC Freiburg,€22.00m,joueurs_images\Ritsu_Doan.jpg
Raoul Bellanova,Raoul Bellanova,Italy,24,Atalanta BC,€22.00m,joueurs_images\Raoul_Bellanova.jpg
Igor Zubeldia,Igor Zubeldia,Spain,27,Real Sociedad,€22.00m,joueurs_images\Igor_Zubeldia.jpg
Federico Chiesa,Federico Chiesa,Italy,27,Liverpool FC,€22.00m,joueurs_images\Federico_Chiesa.jpg
Caoimhín Kelleher,Caoimhín Kelleher,Ireland,26,Liverpool FC,€22.00m,joueurs_images\Caoimhín_Kelleher.jpg
Justin Kluivert,Justin Kluivert,"Netherlands, Suriname",25,AFC Bournemouth,€22.00m,joueurs_images\Justin_Kluivert.jpg
Matvey Safonov,Matvey Safonov,Russia,25,Paris Saint-Germain,€22.00m,joueurs_images\Matvey_Safonov.jpg
Dominic Calvert-Lewin,Dominic Calvert-Lewin,England,27,Everton FC,€22.00m,joueurs_images\Dominic_Calvert-Lewin.jpg
Fikayo Tomori,Fikayo Tomori,"England, Canada",27,AC Milan,€22.00m,joueurs_images\Fikayo_Tomori.jpg
Taiwo Awoniyi,Taiwo Awoniyi,Nigeria,27,Nottingham Forest,€22.00m,joueurs_images\Taiwo_Awoniyi.jpg
Hee-chan Hwang,Hee-chan Hwang,"Korea, South",29,Wolverhampton Wanderers,€22.00m,joueurs_images\Hee-chan_Hwang.jpg
Sofyan Amrabat,Sofyan Amrabat,"Morocco, Netherlands",28,Fenerbahce,€22.00m,joueurs_images\Sofyan_Amrabat.jpg
Vitaly Janelt,Vitaly Janelt,Germany,26,Brentford FC,€22.00m,joueurs_images\Vitaly_Janelt.jpg
Viktor Tsygankov,Viktor Tsygankov,Ukraine,27,Girona FC,€22.00m,joueurs_images\Viktor_Tsygankov.jpg
Patrik Schick,Patrik Schick,Czech Republic,29,Bayer 04 Leverkusen,€22.00m,joueurs_images\Patrik_Schick.jpg
Leon Goretzka,Leon Goretzka,Germany,30,Bayern Munich,€22.00m,joueurs_images\Leon_Goretzka.jpg
Raheem Sterling,Raheem Sterling,"England, Jamaica",30,Arsenal FC,€22.00m,joueurs_images\Raheem_Sterling.jpg
Antoine Griezmann,Antoine Griezmann,France,33,Atlético de Madrid,€22.00m,joueurs_images\Antoine_Griezmann.jpg
Nico Paz,Nico Paz,"Argentina, Spain",20,Como 1907,€20.00m,joueurs_images\Nico_Paz.jpg
Vitor Roque,Vitor Roque,Brazil,19,Real Betis Balompié,€20.00m,joueurs_images\Vitor_Roque.jpg
Patrick Dorgu,Patrick Dorgu,"Denmark, Nigeria",20,Manchester United,€20.00m,joueurs_images\Patrick_Dorgu.jpg
Jeanuël Belocian,Jeanuël Belocian,"France, Guadeloupe",20,Bayer 04 Leverkusen,€20.00m,joueurs_images\Jeanuël_Belocian.jpg
Lamine Camara,Lamine Camara,Senegal,21,AS Monaco,€20.00m,joueurs_images\Lamine_Camara.jpg
Habib Diarra,Habib Diarra,"Senegal, France",21,RC Strasbourg Alsace,€20.00m,joueurs_images\Habib_Diarra.jpg
Alex Scott,Alex Scott,"England, Guernsey",21,AFC Bournemouth,€20.00m,joueurs_images\Alex_Scott.jpg
Javi Guerra,Javi Guerra,Spain,21,Valencia CF,€20.00m,joueurs_images\Javi_Guerra.jpg
Ange-Yoan Bonny,Ange-Yoan Bonny,"France, Cote d'Ivoire",21,Parma Calcio 1913,€20.00m,joueurs_images\Ange-Yoan_Bonny.jpg
Dango Ouattara,Dango Ouattara,Burkina Faso,23,AFC Bournemouth,€20.00m,joueurs_images\Dango_Ouattara.jpg
Vanderson,Vanderson,Brazil,23,AS Monaco,€20.00m,joueurs_images\Vanderson.jpg
Rodrigo Muniz,Rodrigo Muniz,Brazil,23,Fulham FC,€20.00m,joueurs_images\Rodrigo_Muniz.jpg
Jacob Greaves,Jacob Greaves,England,24,Ipswich Town,€20.00m,joueurs_images\Jacob_Greaves.jpg
Johnny Cardoso,Johnny Cardoso,"United States, Italy",23,Real Betis Balompié,€20.00m,joueurs_images\Johnny_Cardoso.jpg
Marcos Leonardo,Marcos Leonardo,Brazil,21,Al-Hilal SFC,€20.00m,joueurs_images\Marcos_Leonardo.jpg
Orri Óskarsson,Orri Óskarsson,Iceland,20,Real Sociedad,€20.00m,joueurs_images\Orri_Óskarsson.jpg
El Bilal Touré,El Bilal Touré,"Mali, Cote d'Ivoire",23,VfB Stuttgart,€20.00m,joueurs_images\El_Bilal_Touré.jpg
Keane Lewis-Potter,Keane Lewis-Potter,England,24,Brentford FC,€20.00m,joueurs_images\Keane_Lewis-Potter.jpg
Beñat Prados,Beñat Prados,Spain,24,Athletic Bilbao,€20.00m,joueurs_images\Beñat_Prados.jpg
Conor Bradley,Conor Bradley,Northern Ireland,21,Liverpool FC,€20.00m,joueurs_images\Conor_Bradley.jpg
Matteo Ruggeri,Matteo Ruggeri,Italy,22,Atalanta BC,€20.00m,joueurs_images\Matteo_Ruggeri.jpg
Ander Barrenetxea,Ander Barrenetxea,Spain,23,Real Sociedad,€20.00m,joueurs_images\Ander_Barrenetxea.jpg
Toti,Toti,"Portugal, Guinea-Bissau",26,Wolverhampton Wanderers,€20.00m,joueurs_images\Toti.jpg
