Name,Age,Nationality,Last Club,Avg Points/Game,Profile URL
Gabriele Cioffi,,N/A,N/A,Gabriele Cioffi,https://www.transfermarkt.com/gabriele-cioffi/profil/trainer/31903
Do-hoon Kim,,N/A,N/A,Do-hoon Kim,https://www.transfermarkt.com/do-hoon-kim/profil/trainer/49420
Sung-yong Choi,,N/A,N/A,Sung-yong Choi,https://www.transfermarkt.com/sung-yong-choi/profil/trainer/100920
Hae-seong Jeong,,N/A,N/A,Hae-seong Jeong,https://www.transfermarkt.com/hae-seong-jeong/profil/trainer/18141
Charles Akonnor,,N/A,N/A,Charles Akonnor,https://www.transfermarkt.com/charles-akonnor/profil/trainer/9324
Luka Elsner,,N/A,N/A,Luka Elsner,https://www.transfermarkt.com/luka-elsner/profil/trainer/23576
Bo Svensson,,N/A,N/A,Bo Svensson,https://www.transfermarkt.com/bo-svensson/profil/trainer/35997
Guillermo Barros Schelotto,,N/A,N/A,Guillermo Barros Schelotto,https://www.transfermarkt.com/guillermo-barros-schelotto/profil/trainer/24556
Bruno Labbadia,,N/A,N/A,Bruno Labbadia,https://www.transfermarkt.com/bruno-labbadia/profil/trainer/588
Pierre Aristouy,,N/A,N/A,Pierre Aristouy,https://www.transfermarkt.com/pierre-aristouy/profil/trainer/82583
Rob Page,,N/A,N/A,Rob Page,https://www.transfermarkt.com/rob-page/profil/trainer/20850
Luis Miguel Carrión,,N/A,N/A,Luis Miguel Carrión,https://www.transfermarkt.com/luis-miguel-carrion/profil/trainer/33152
Rafael Benítez,,N/A,N/A,Rafael Benítez,https://www.transfermarkt.com/rafael-benitez/profil/trainer/1522
Alexandre Belinga,,N/A,N/A,Alexandre Belinga,https://www.transfermarkt.com/alexandre-belinga/profil/trainer/43301
Diego Alonso,,N/A,N/A,Diego Alonso,https://www.transfermarkt.com/diego-alonso/profil/trainer/20973
Tayfun Korkut,,N/A,N/A,Tayfun Korkut,https://www.transfermarkt.com/tayfun-korkut/profil/trainer/12668
Mark van Bommel,,N/A,N/A,Mark van Bommel,https://www.transfermarkt.com/mark-van-bommel/profil/trainer/33479
Gabriel Milito,,N/A,N/A,Gabriel Milito,https://www.transfermarkt.com/gabriel-milito/profil/trainer/39953
Steven Davis,,N/A,N/A,Steven Davis,https://www.transfermarkt.com/steven-davis/profil/trainer/121194
Paquito,,N/A,N/A,Paquito,https://www.transfermarkt.com/paquito/profil/trainer/57762
Zoran Mamic,,N/A,N/A,Zoran Mamic,https://www.transfermarkt.com/zoran-mamic/profil/trainer/4835
